#Thorlabs FTS
[SpectrumHeader]
#Date;20251128
#Time;17165862
#GMTTime;20165862
#Instrument;0
#InstrModel;CCS200
#Series;0
#InterferometerSerial;M00311012
#Type;emission
#ChannelIndex;0
#XAxisUnit;nm_air
#YAxisUnit;intensity
#Average;1
#RollingAverage;0
#SpectrumSmooth;0
#SSmoothParam1;0
#SSmoothParam2;0
#SSmoothParam3;0
#SSmoothParam4;0
#IntegrationTime;650.000000
#TriggerMode;0
#AirMeasureOpt;0
#AirTemp;0.00
#AirPressure;0.00
#AirRelHum;0.00
#WnrMin;9799.037109
#WnrMax;50982.906250
#Length;3648
#Resolution;0.0000000000e+00
#ADC;0
#InstrStatus;0
#RefLaserLocked;0
#ChannelIndex;0
#AttenuationFilter;0
#Stitched;0
#ExcitationWavelength_nm;0
#SoftwareVersion;3.310000
#FirmwareVersion;
#Motor_FirmwareVersion;
#ReconstructionAlgorithms_SoftwareVersion;
#Sensor_FirmwareVersion;
#InstrSeriesIdentifier;MUN_CCS_SERIES
#RefGainIndex;0
#RefSignalInPerecent;0.0
#BBRefGainIndex;0
#BBRefSignalInPerecent;0.0
#AutogainStatus;0
#Name;
#Comment;""
#ExtComment;""
#Source;
[Data]
1.960870056e+02;8.026065305e-03
1.962940979e+02;5.133030470e-03
1.965012054e+02;1.605915278e-02
1.967083282e+02;-4.002499918e-04
1.969154510e+02;1.313802972e-02
1.971225891e+02;-1.523758750e-03
1.973297424e+02;-2.506828867e-03
1.975368958e+02;-9.219793603e-03
1.977440643e+02;1.221113559e-02
1.979512482e+02;9.760481771e-04
1.981584320e+02;-3.209021874e-03
1.983656311e+02;-7.028951310e-03
1.985728455e+02;1.987206051e-03
1.987800751e+02;8.868697099e-03
1.989873047e+02;8.840609342e-03
1.991945496e+02;-1.186003909e-02
1.994018097e+02;-4.023565445e-03
1.996090698e+02;5.554346368e-03
1.998163452e+02;-3.321372671e-03
2.000236359e+02;2.436609473e-03
2.002309418e+02;-2.534916624e-03
2.004382477e+02;2.380434191e-03
2.006455688e+02;-8.236723021e-03
2.008528900e+02;1.035734639e-02
2.010602417e+02;3.897170769e-03
2.012675934e+02;2.239995403e-03
2.014749451e+02;7.267697249e-03
2.016823273e+02;-8.180547506e-03
2.018897095e+02;-7.373025874e-04
2.020971069e+02;-2.984320046e-03
2.023045044e+02;1.846767496e-03
2.025119171e+02;1.116486732e-03
2.027193451e+02;-4.002499918e-04
2.029267883e+02;3.925258759e-03
2.031342316e+02;-5.793091841e-03
2.033416901e+02;1.266053878e-02
2.035491638e+02;3.588205902e-03
2.037566376e+02;1.032223692e-03
2.039641418e+02;4.627451301e-03
2.041716309e+02;-1.579934149e-03
2.043791504e+02;1.108762622e-02
2.045866699e+02;2.183820121e-03
2.047942047e+02;2.492784988e-03
2.050017548e+02;-9.388320148e-03
2.052093048e+02;1.156511810e-02
2.054168701e+02;-2.703442937e-03
2.056244507e+02;-1.973162172e-03
2.058320312e+02;9.205749258e-03
2.060396423e+02;-9.584933519e-03
2.062472534e+02;9.374275804e-03
2.064548645e+02;5.273469258e-03
2.066624908e+02;3.840995487e-03
2.068701324e+02;7.520486601e-03
2.070777893e+02;-6.579548120e-03
2.072854462e+02;-1.945074415e-03
2.074931335e+02;4.852153361e-03
2.077008057e+02;-4.557232372e-03
2.079085083e+02;-1.065226737e-02
2.081162109e+02;2.211907879e-03
2.083239288e+02;2.015293809e-03
2.085316467e+02;-1.495670993e-03
2.087393951e+02;2.886013128e-03
2.089471436e+02;3.756732214e-03
2.091548920e+02;-7.422179449e-03
2.093626709e+02;-3.040495561e-03
2.095704498e+02;2.239995403e-03
2.097782440e+02;-7.197477855e-03
2.099860382e+02;3.251153277e-03
2.101938629e+02;1.089101285e-02
2.104016724e+02;-4.107828718e-03
2.106095123e+02;-6.811271887e-04
2.108173523e+02;9.992205538e-03
2.110252075e+02;-6.214407738e-03
2.112330780e+02;5.779047962e-03
2.114409637e+02;8.896784857e-03
2.116488495e+02;8.391206153e-03
2.118567505e+02;-6.719986442e-03
2.120646515e+02;-7.703056559e-03
2.122725677e+02;2.072171308e-02
2.124804993e+02;-1.130530611e-03
2.126884460e+02;9.121485986e-03
2.128963928e+02;2.661311300e-03
2.131043549e+02;2.745574340e-03
2.133123322e+02;2.187331021e-02
2.135203094e+02;9.065311402e-03
2.137283173e+02;-1.082079299e-02
2.139363098e+02;6.670833100e-04
2.141443329e+02;2.605135785e-03
2.143523560e+02;-1.158618368e-03
2.145603943e+02;1.002029330e-02
2.147684479e+02;2.176798153e-04
2.149765015e+02;1.375595946e-02
2.151845703e+02;-9.058288997e-04
2.153926544e+02;-7.731144316e-03
2.156007538e+02;7.211521734e-03
2.158088531e+02;-5.793091841e-03
2.160169678e+02;7.183433976e-03
2.162250824e+02;8.166504093e-03
2.164332123e+02;1.170555688e-02
2.166413574e+02;8.917850209e-04
2.168495178e+02;1.184599474e-02
2.170576782e+02;2.738552575e-04
2.172658691e+02;6.902556866e-03
2.174740448e+02;-4.276355263e-03
2.176822510e+02;7.127258461e-03
2.178904572e+02;7.717100438e-03
2.180986786e+02;9.598977864e-03
2.183069000e+02;8.082240820e-03
2.185151520e+02;1.172662247e-03
2.187234039e+02;5.835223477e-03
2.189316559e+02;5.189205986e-03
2.191399384e+02;1.642429270e-02
2.193482208e+02;4.704692692e-04
2.195565186e+02;1.846767496e-03
2.197648163e+02;1.145276707e-02
2.199731293e+02;1.678241184e-03
2.201814575e+02;2.127644606e-03
2.203898010e+02;8.250767365e-03
2.205981445e+02;-6.811271887e-04
2.208065033e+02;8.917850209e-04
2.210148773e+02;2.689399058e-03
2.212232513e+02;1.622065669e-03
2.214316406e+02;-5.596478004e-03
2.216400452e+02;-2.141688485e-03
2.218484650e+02;9.514714591e-03
2.220568848e+02;3.981433809e-03
2.222653198e+02;1.737927459e-02
2.224737549e+02;-3.265197156e-03
2.226822205e+02;1.516034547e-02
2.228906860e+02;6.958731916e-03
2.230991516e+02;1.294141635e-02
2.233076477e+02;-3.686513053e-03
2.235161438e+02;8.924872614e-03
2.237246552e+02;-1.804635860e-03
2.239331665e+02;1.280097757e-02
2.241416931e+02;1.055395976e-02
2.243502350e+02;1.319420524e-02
2.245587921e+02;-7.337916177e-03
2.247673492e+02;-2.141688485e-03
2.249759216e+02;1.481627114e-03
2.251845093e+02;-1.664197305e-03
2.253930969e+02;1.636811718e-02
2.256017151e+02;6.818293594e-03
2.258103180e+02;-5.905442871e-03
2.260189514e+02;1.625576615e-02
2.262275848e+02;7.717100438e-03
2.264362335e+02;-3.770776093e-03
2.266448975e+02;-1.299056923e-03
2.268535614e+02;6.284626666e-03
2.270622406e+02;-9.360232390e-03
2.272709351e+02;-3.517986741e-03
2.274796295e+02;6.116100587e-03
2.276883392e+02;7.014907431e-03
2.278970642e+02;3.862061130e-04
2.281058044e+02;-7.703056559e-03
2.283145447e+02;9.936030023e-03
2.285233002e+02;2.352346433e-03
2.287320557e+02;4.767890088e-03
2.289408417e+02;1.538504753e-02
2.291496277e+02;1.119997725e-02
2.293584137e+02;-2.366390312e-03
2.295672302e+02;-3.510964598e-05
2.297760468e+02;7.520486601e-03
2.299848785e+02;8.643995039e-03
2.301937103e+02;-4.845131480e-04
2.304025726e+02;-7.983934134e-03
2.306114197e+02;-1.652259938e-02
2.308202972e+02;4.852153361e-03
2.310291748e+02;1.052587200e-02
2.312380676e+02;1.114380173e-02
2.314469757e+02;5.273469258e-03
2.316558990e+02;-6.326758303e-03
2.318648224e+02;-5.126008764e-04
2.320737610e+02;4.149960354e-03
2.322826996e+02;4.824065603e-03
2.324916534e+02;-1.916986774e-03
2.327006226e+02;8.026065305e-03
2.329096069e+02;-6.530394312e-04
2.331185913e+02;-8.995091543e-03
2.333275909e+02;1.521652099e-02
2.335366058e+02;7.295784540e-03
2.337456207e+02;9.233837016e-03
2.339546661e+02;-1.186706126e-03
